stock1,stock2,model_type,w1,w2,pval,snr,zcr,mu,stdev,skewness,profit_without_cost,profit_tax1,profit_tax2,open number,return,std1,skew1,timetrend,pos,int_w1,int_w2,done,StrategyOpenTime,StrategyCloseTime
2002,3702,model3,-0.4804365142877045,0.5195634857122954,0.04331059420334821,0.42188086463739083,0.17661333333333337,0.38748147006389916,0.0008479094943540491,-0.3497313657970642,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1101,1303,model3,-0.3137335488913476,0.6862664511086525,0.642043763429494,0.535416031508641,0.1989733333333335,1.7537918314398944,0.0008379700776139541,2.02037181517639,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1101,2308,model3,-0.36158493030127414,0.6384150696987257,0.16926749690323487,0.3374828909499969,0.06788000000000008,1.9432556727237178,0.0014379623854911413,0.44032434114454166,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1101,5880,model3,-0.2642955824301718,0.7357044175698281,0.13611366800808478,0.594130806665667,0.1593600000000001,1.0327921352740876,0.0014014969524078931,0.6700530412265986,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1101,1590,model3,-0.2833151217769045,0.7166848782230956,0.0883276013156917,0.24969251305807297,0.034466666666666534,2.8660880415566177,0.0017434131174534871,0.9619848833082758,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1101,2347,model3,-0.3153585404022632,0.6846414595977368,0.21354693848628478,0.29527973497949195,0.07197333333333342,1.275181488956388,0.0008855668956534834,0.8067928162272496,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1101,2356,model3,-0.3666228815745476,0.6333771184254523,0.26590009384701635,0.34033197122461556,0.13918666666666654,0.6773306348790129,0.0011624657886219038,0.8172378468324866,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1101,2618,model3,-0.5195451446863063,0.4804548553136936,0.10480527528445677,0.6003644008642874,0.0886,-0.46707714601628414,0.0014683608988364978,-0.18423245708535094,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1101,3702,model3,-0.2508350120439002,0.7491649879560999,0.15362635762752344,0.4933742848933672,0.10170666666666676,1.788953886513182,0.0008153808462698183,-0.15944650853526857,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1303,2354,model3,-0.7702435368219791,0.22975646317802093,0.04081251343163209,0.13887616814604137,0.057280000000000074,-2.1835536752047098,0.0015449017734552066,-1.30170250805702,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
