stock1,stock2,open,loss,reward,open_num
2049,3231,[0.5],[3.3],0.8999999999999773,[1]
2049,3702,[2.1],[3.3],5.2999999999999545,[1]
2049,6285,[2.9],[4.95],7.599999999999909,[1]
2344,2353,[1.65],[2.85],2.1999999999999886,[1]
2344,2355,[1.6],[3.6],2.0999999999999943,[1]
2344,2360,[2.1],[4.2],0.8000000000000114,[1]
2344,2377,[2.35],[3.75],1.5999999999999943,[1]
2344,2448,[1.75],[4.95],1.6000000000000085,[1]
2344,2542,[2.7],[4.2],1.700000000000017,[1]
2344,2603,[2.9],[4.65],0.9000000000000057,[1]
2344,2615,[2.3],[4.5],1.6500000000000057,[1]
2344,3189,[1.2],[4.8],0.9000000000000057,[1]
2344,3231,[1.75],[4.95],2.450000000000003,[1]
2344,3702,[2.9],[4.65],3.3000000000000114,[1]
2344,6285,[1.75],[4.95],2.450000000000003,[1]
2353,2355,[1.4],[2.55],2.299999999999976,[1]
2353,2542,[1.4],[2.55],0.3999999999999915,[1]
2353,2615,[1.3],[2.4],2.0,[1]
2355,2371,[1.8],[2.85],1.04999999999999,[1]
2355,3702,[1.2],[4.8],3.8999999999999986,[1]
2371,3231,[1.75],[4.95],1.1299999999999955,[1]
2377,2448,[1.5],[4.05],4.099999999999994,[1]
2448,2603,[2.9],[4.65],2.8000000000000114,[1]
2448,2615,[1.35],[3.3],1.7999999999999972,[1]
2448,3231,[2.9],[4.65],3.2000000000000455,[1]
2448,6456,[2.1],[4.5],1.3500000000000227,[1]
2603,3189,[2.5],[3.9],0.3499999999999943,[1]
2615,3702,[2.7],[4.2],0.44999999999998863,[1]
2542,3231,[2.2],[3.75],1.1499999999999204,[1]
2542,3702,[2.9],[4.65],5.25,[1]
3189,3231,[2.3],[4.5],2.19999999999996,[1]
3702,6285,[1.6],[3.6],4.0,[1]
3231,3702,[2.05],[3.15],2.449999999999932,[1]
